('Total Revenue', '1,765,485,215', '1,765,485,214', '1,765,485,213', '1,765,485,212', '1,765,485,209')
         163976 function calls (159127 primitive calls) in 0.979 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 threading.py:281(__init__)
      493    0.000    0.000    0.001    0.000 _compiler.py:401(_simple)
        1    0.000    0.000    0.000    0.000 _collections.py:27(Pair)
      273    0.000    0.000    0.001    0.000 <frozen _collections_abc>:808(get)
        1    0.000    0.000    0.000    0.000 retry.py:41(Retry)
        2    0.000    0.000    0.000    0.000 {built-in method _scproxy._get_proxies}
      274    0.000    0.000    0.000    0.000 typing.py:1368(__setattr__)
      210    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
      320    0.000    0.000    0.000    0.000 _parser.py:448(_uniq)
      166    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1620(_get_spec)
      133    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
      277    0.000    0.000    0.000    0.000 enum.py:37(_is_descriptor)
      142    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:698(_classify_pyc)
      513    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1501(_path_importer_cache)
      166    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:643(_get_cached)
      308    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
        5    0.000    0.000    0.001    0.000 request.py:2495(getproxies_environment)
      190    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
       78    0.000    0.000    0.000    0.000 {method 'write' of '_io.BytesIO' objects}
      255    0.000    0.000    0.000    0.000 response.py:9(is_fp_closed)
       41    0.000    0.000    0.147    0.004 client.py:463(read)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
      341    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        4    0.000    0.000    0.001    0.000 feedparser.py:218(_parsegen)
        2    0.000    0.000    0.000    0.000 feedparser.py:472(_parse_headers)
       22    0.000    0.000    0.007    0.000 enum.py:498(__new__)
      194    0.000    0.000    0.000    0.000 _parser.py:371(_escape)
      563    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      255    0.000    0.000    0.170    0.001 models.py:816(generate)
       78    0.000    0.000    0.000    0.000 enum.py:1607(__and__)
       46    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
     1055    0.000    0.000    0.000    0.000 _parser.py:112(__init__)
      190    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      563    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      191    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:416(__enter__)
      546    0.000    0.000    0.000    0.000 _parser.py:171(__setitem__)
      568    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
