('Total Revenue', '1,765,485,215', '1,765,485,214', '1,765,485,213', '1,765,485,212', '1,765,485,209')
         163977 function calls (159128 primitive calls) in 6.027 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 {method 'rstrip' of 'bytes' objects}
     1405    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
     2204    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       78    0.000    0.000    0.000    0.000 {method 'write' of '_io.BytesIO' objects}
      255    0.000    0.000    0.000    0.000 response.py:9(is_fp_closed)
  170/166    0.000    0.000    0.053    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
        1    0.000    0.000    0.001    0.001 poolmanager.py:1(<module>)
      284    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
      826    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
     1942    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      426    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
    142/2    0.000    0.000    0.207    0.103 <frozen importlib._bootstrap_external>:1021(exec_module)
      273    0.000    0.000    0.001    0.000 <frozen _collections_abc>:808(get)
        2    0.000    0.000    0.000    0.000 {built-in method _scproxy._get_proxies}
        1    0.000    0.000    0.004    0.004 packages.py:1(<module>)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
      493    0.000    0.000    0.001    0.000 _compiler.py:401(_simple)
       80    0.000    0.000    0.019    0.000 _parser.py:970(parse)
        1    0.000    0.000    0.000    0.000 retry.py:41(Retry)
      210    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
        1    0.000    0.000    0.000    0.000 _collections.py:27(Pair)
      166    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1620(_get_spec)
        5    0.000    0.000    0.001    0.000 request.py:2495(getproxies_environment)
      274    0.000    0.000    0.000    0.000 typing.py:1368(__setattr__)
       41    0.000    0.000    0.147    0.004 client.py:463(read)
      334    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      277    0.000    0.000    0.000    0.000 enum.py:37(_is_descriptor)
      513    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1501(_path_importer_cache)
      142    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:698(_classify_pyc)
      166    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:643(_get_cached)
        1    0.000    0.000    0.000    0.000 {built-in method _thread._make_thread_handle}
      255    0.000    0.000    0.174    0.001 models.py:816(generate)
      320    0.000    0.000    0.000    0.000 _parser.py:448(_uniq)
      133    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
      190    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      294    0.000    0.000    0.000    0.000 enum.py:1589(_get_value)
        1    0.000    0.000    0.006    0.006 ssl_.py:225(create_urllib3_context)
      308    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
       12    0.000    0.000    0.000    0.000 enum.py:1459(_missing_)
    64/39    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
       78    0.000    0.000    0.000    0.000 enum.py:1607(__and__)
      563    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
       73    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       46    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      336    0.000    0.000    0.000    0.000 socket.py:744(readable)
      194    0.000    0.000    0.000    0.000 _parser.py:371(_escape)
       22    0.000    0.000    0.006    0.000 enum.py:498(__new__)
     1055    0.000    0.000    0.000    0.000 _parser.py:112(__init__)
        2    0.000    0.000    0.000    0.000 feedparser.py:472(_parse_headers)
      563    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      190    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      191    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:416(__enter__)
      341    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      546    0.000    0.000    0.000    0.000 _parser.py:171(__setitem__)
        4    0.000    0.000    0.001    0.000 feedparser.py:218(_parsegen)
       41    0.000    0.000    0.001    0.000 typing.py:1423(__init__)
      568    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
      142    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:731(_validate_timestamp_pyc)
       25    0.000    0.000    0.000    0.000 parse.py:374(urlparse)
      375    0.000    0.000    0.000    0.000 <frozen os>:735(__iter__)
       24    0.000    0.000    0.005    0.000 enum.py:251(__set_name__)
      380    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
       55    0.000    0.000    0.000    0.000 enum.py:354(__setitem__)
      349    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
      592    0.000    0.000    0.000    0.000 response.py:392(__len__)
      308    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
      308    0.000    0.000    0.000    0.000 typing.py:1294(_is_dunder)
       80    0.000    0.000    0.012    0.000 _compiler.py:576(_code)
      238    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
      672    0.000    0.000    0.000    0.000 ssl.py:1117(_checkClosed)
       46    0.000    0.000    0.000    0.000 functools.py:36(update_wrapper)
    91/71    0.000    0.000    0.000    0.000 _compiler.py:439(_get_literal_prefix)
      142    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      329    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
      994    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      963    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      210    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      108    0.000    0.000    0.001    0.000 enum.py:1156(__new__)
      963    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       93    0.000    0.000    0.000    0.000 {built-in method builtins.next}
      186    0.000    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1552(find_spec)
      124    0.000    0.000    0.000    0.000 _parser.py:311(_class_escape)
       60    0.000    0.000    0.000    0.000 structures.py:46(__setitem__)
      378    0.000    0.000    0.000    0.000 <frozen os>:798(decode)
      299    0.000    0.000    0.000    0.000 client.py:453(isclosed)
       18    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1676(_fill_cache)
       13    0.000    0.000    0.001    0.000 <frozen _collections_abc>:979(update)
      220    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
  143/140    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:675(_check_name_wrapper)
      256    0.000    0.000    0.000    0.000 response.py:187(has_unconsumed_tail)
      210    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
        3    0.000    0.000    0.023    0.008 utils.py:1(<module>)
      320    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.144    0.144 connection.py:724(connect)
        6    0.000    0.000    0.000    0.000 cookiejar.py:1262(__init__)
        1    0.000    0.000    0.809    0.809 api.py:14(request)
      2/1    0.000    0.000    0.793    0.793 sessions.py:673(send)
      192    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      444    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
       45    0.000    0.000    0.000    0.000 contextlib.py:303(helper)
        3    0.000    0.000    0.001    0.000 request.py:2569(_proxy_bypass_macosx_sysconf)
