('Total Revenue', '1,765,485,215', '1,765,485,214', '1,765,485,213', '1,765,485,212', '1,765,485,209')
         163976 function calls (159127 primitive calls) in 1.233 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      186    0.000    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1552(find_spec)
      186    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1523(_get_spec)
      184    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
      184    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
      182    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
      181    0.029    0.000    0.205    0.001 {method 'read' of '_io.BufferedReader' objects}
  170/166    0.000    0.000    0.046    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
    170/2    0.000    0.000    0.205    0.103 <frozen importlib._bootstrap>:911(_load_unlocked)
      170    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      166    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:643(_get_cached)
      166    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1620(_get_spec)
      166    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:834(spec_from_file_location)
      160    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      160    0.000    0.000    0.000    0.000 _compiler.py:573(isstring)
      146    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      146    0.000    0.000    0.000    0.000 _compiler.py:431(_get_iscased)
    144/1    0.001    0.000    1.233    1.233 {built-in method builtins.exec}
      144    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1605(<genexpr>)
      143    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
  143/140    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:675(_check_name_wrapper)
      142    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      142    0.012    0.000    0.012    0.000 {built-in method marshal.loads}
      142    0.015    0.000    0.015    0.000 {built-in method _io.open_code}
      142    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
      142    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1018(create_module)
      142    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:731(_validate_timestamp_pyc)
      142    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:783(_compile_bytecode)
      142    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1234(path_stats)
      142    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1185(__init__)
      142    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1210(get_filename)
    142/2    0.000    0.000    0.205    0.103 <frozen importlib._bootstrap_external>:1021(exec_module)
      142    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:698(_classify_pyc)
      142    0.000    0.000    0.044    0.000 <frozen importlib._bootstrap_external>:1215(get_data)
      142    0.001    0.000    0.061    0.000 <frozen importlib._bootstrap_external>:1094(get_code)
      137    0.000    0.000    0.001    0.000 typing.py:164(_type_convert)
      136    0.000    0.000    0.000    0.000 {built-in method sys.intern}
      135    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
      135    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
      134    0.000    0.000    0.001    0.000 typing.py:173(_type_check)
      133    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
  127/125    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      127    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
      125    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      125    0.000    0.000    0.000    0.000 typing.py:1427(<genexpr>)
      124    0.000    0.000    0.000    0.000 _parser.py:311(_class_escape)
      120    0.000    0.000    0.000    0.000 typing.py:1765(__eq__)
      114    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
      112    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
      108    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
      108    0.000    0.000    0.000    0.000 enum.py:695(__call__)
      108    0.000    0.000    0.000    0.000 __init__.py:432(<genexpr>)
      108    0.000    0.000    0.000    0.000 enum.py:1156(__new__)
      107    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
      107    0.000    0.000    0.000    0.000 constant.py:398(<lambda>)
      104    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      104    0.000    0.000    0.000    0.000 enum.py:921(<lambda>)
       98    0.000    0.000    0.000    0.000 _parser.py:85(opengroup)
       98    0.000    0.000    0.001    0.000 _parser.py:97(closegroup)
       93    0.000    0.000    0.000    0.000 {built-in method builtins.next}
    91/71    0.000    0.000    0.000    0.000 _compiler.py:439(_get_literal_prefix)
       89    0.001    0.000    0.033    0.000 __init__.py:330(_compile)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
